ID,term,category,appliesTo,definition,category2,dataSource
2285,semielliptic,shape,,"Forming an incomplete ellipsis, like the letter U.",arrangement,
2286,semiobterete,shape,,Inversely semiterete; obterete but flattened on one side.,shape,
2287,semistalked,architecture,structure,"Almost stalkless; having a very short, somewhat indistinct stalk.",architecture,
2288,semiterete,shape,,Terete but flattened on one side.,shape,
2289,sepal,structure,,"One of the one or more constituent members of a calyx; usually green and leaf-like, but sometimes with color and/or texture otherwise, sometimes petaloid; may be distinct or else connate with one or more others and/or may be free or else adnate to one or",STRUCTURE,
2290,sepal-like,architecture,structure,"Resembling a sepal in shape, texture and color.",architecture,
2291,_sepaled,architecture,"flower, perianth, calyx",Having the number of sepals indicated by the prefix; as in four-sepaled.,architecture,
2292,sepaloid,architecture,structure,"Resembling a sepal in shape, texture and color.",architecture,
2293,_sepalous,architecture,"flower, perianth, calyx",Having the number of sepals indicated by the prefix; as in tetrasepalous.,architecture,
#,septal,insertion,,Upon or otherwise directly associated with the septum or septa.,shape,q
2295,septal,position,,Upon or otherwise directly associated with the septum or septa.,shape,q
2296,septate,architecture,,Having one or more septa.,architecture,
2297,septate,architecture,trichome,Unicellular to multicellular with transverse partitions (septa) that are common cell walls (intercellular) and/or intrusions from longitudinal cell walls (intracellular).,architecture,
2298,septicidal,dehiscence,fruit,"Splitting longitudinally into or through the suture(s) in the outer wall and, if present, through the septum(-a) between locules, the latter thus opened indirectly to the outside.",dehiscence,
2299,septifragal,dehiscence,fruit,"Splitting through the exterior wall suture(s) but not the septum(-a), the valves of the wall then separating from the septum(-a) and the locules thus opened directly to the outside.",dehiscence,
2300,septum,structure,,"A topologically and/or texturally distinct wall or partition that separates chambers or locules within an ovary, fruit or sporangium.",STRUCTURE,
2301,septa,structure,,"A topologically and/or texturally distinct wall or partition that separates chambers or locules within an ovary, fruit or sporangium.",STRUCTURE,
2302,seriate,arrangement,,"Disposed along the axis in groups of three or more, the members of each group (cycle, series, verticil, whorl) inserted around the axis at the same level.",arrangement,
2303,_seriate,architecture,trichome,"Multicellular with the number of longitudinal columns of superposed cells indicated by the prefix; as in biseriate, multiseriate, uniseriate.",arrangement,
2304,_seriate,arrangement,,"Disposed in the number of series (cycles, verticils, whorls) indicated by the prefix; as in biseriate, 3-seriate.",arrangement,
2305,sericeous,pubescence,,"Of or bearing long, fine, appressed, capillate trichomes and like silk to the touch.",pubescence,
2306,series,structure,,A set of three or more lateral structures that are inserted around an axis at the same level.,STRUCTURE,
2307,serotinous,maturation,structure,"Maturing late in the growing season, or late relative to the developmental progress of its context.",maturation,
2308,serrate,shape,,"Having regularly spaced, angular convexities oriented at an acute angle to the generalized perimeter.  See also  crenate (scalloped), crenulate (small-scalloped), dentate (toothed), denticulate (small-toothed), serrulate (small-sawtoothed).",shape,
2309,_serrate,shape,,"Having the number of orders of sawteeth indicated by the prefix, one upon another; as in biserrate.  See also ...crenate (...-scalloped), ...dentate (...-toothed).",shape,
2310,serrulate,shape,,"Finely serrate (sawtoothed).  See also crentate (scalloped), crenulate (small-scalloped), dentate (toothed), denticulate (small-toothed).",shape,
2311,sessile,architecture,structure,"Lacking a stalk, thus inserted ('sitting') directly upon the bearing structure.",architecture,
2312,seta,structure,,"A slender, more or less straight and stiff, fine-pointed, terminal or subterminal appendage or prolongation, sometimes a continuation of the bearing structure's central primary vein, as on a glume, lemma, or palea in Poaceae (Gramineae).",STRUCTURE,
2313,setae,structure,,"A slender, more or less straight and stiff, fine-pointed, terminal or subterminal appendage or prolongation, sometimes a continuation of the bearing structure's central primary vein, as on a glume, lemma, or palea in Poaceae (Gramineae).",STRUCTURE,
2314,seta,structure,,"A trichome that is elongate, slender, more or less straight, terete, fine-pointed, and stiff.",STRUCTURE,
2315,setae,structure,,"A trichome that is elongate, slender, more or less straight, terete, fine-pointed, and stiff.",STRUCTURE,
2316,setaceous,shape,,"Elongate, slender, terete, straight, terminating in a fine point, and apparently stiff; like a bristle.",shape,
2317,setiform,shape,,"Elongate, slender, terete, straight, terminating in a fine point, and apparently stiff; like a bristle.",shape,
2318,setose,pubescence,,"Bearing relatively long and slender, more or less straight, terete, fine-pointed, stiff trichomes.  See also setulose (hispidulous, small-bristly).",pubescence,
2319,setulose,pubescence,,Finely setose (hispid).,pubescence,
2320,seven_,prefix,,"Indicating presence of or constitution by seven entities of the type denoted by the term's stem; as in seven-leafleted, seven-loculed, seven-winged.",prefix,
2321,shaggy,pubescence,,"Bearing sparse, long, slender, soft, capillate trichomes that are not intertwined.  See also villosulous.",pubescence,
2322,sharp,shape,,"Acutely angular; regularly and more or less straightly attenuate to an angular tip, the sides intersecting at an angle of less than 90-�+�.",shape,
2323,sheath,structure,leaf,"The lower (basal or proximal), fundamentally laminar but strongly involute portion of one of the non-petiolate leaves characteristic of most monocotyledons (Liliidae); distinct from the leaf blade, which, when present, is borne distally upon it; analogous",STRUCTURE,
2324,sheathed,architecture,structure,Closely enclosed over some or all of its length by a terete or involute structure.,architecture,
2325,sheathing,architecture,foliaceous structure,"Differentiated into distinct proximal and distal portions, the former terete or involute and closely enclosing the bearing axis above the point of insertion.",shape,
2326,sheathing,shape,laminar structure,Terete or involute and closely enclosing the supporting axis for some distance above the point of insertion.,shape,
2327,shining,reflectance,,Uniformly reflecting a high proportion of incident light at all angles.,reflectance,
2328,shiny,reflectance,,Uniformly reflecting a high proportion of incident light at all angles.,reflectance,
2329,shoot,structure,,"Collectively, all those portions of a plant body that are anatomically distinct from the root, the component axes differentiated into nodes and internodes, and branching exogenously from the former.",STRUCTURE,
2331,short-shoot,structure,,"A first- or higher-order woody stem branch having relatively unelongated internodes, thus proximate nodes, and limited duration of growth, usually branching little if at all; often a main locus of flower production; usually more or less perpendicular to t",STRUCTURE,
2332,showy,manifestation,,"Prominently evident and attractive due to size, shape and/or coloration.",manifestation,
2333,shrub,life-form,plant,"Perennial, woody, relatively short, with a single main stem that is not distinctly columnar and branches from or above ground level, the branches often crowded.  See also subshrub (suffrutex, undershrub), tree, woody clump.",nominative,
2334,shrubby,habit,plant,"Having or developing the character of a shrub.  See also arboreous, arborescent, subshrubby, suffrutescent, suffruticose, tree-like, woody-clumping.",habit,
2335,sickle-shaped,shape,,"Elongate and laterally arcuate with the lateral edges more or less concentric, the degree of curvature decreasing distally or not; like the outline of the face of a sickle blade.",shape,
2337,sigmoid,course,,"Curved more or less regularly first in one direction and then in the opposite direction, like the letter S.",course,
2338,sigmoid,shape,,"Elongate with more or less constant width or diameter and curved more or less regularly first in one direction and then in the opposite direction, like the letter S.",shape,
2339,siliceous,texture,"epidermis, trichome","Containing deposits of silica, thus hardened and abrasive.",texture,
2340,silicle,structure,fruit,"Dry, septifragal, two-loculed and derived from a single, superior, compound ovary; longer than broad; dehiscing along two sutures, one adaxial, one abaxial, leaving a single persistent septum (replum) after the two valves of the pericarp have fallen away;",nominative,
2341,silique,structure,fruit,"Like a silicle, but broader than long; esp. in Brassicaceae (Cruciferae), Capparaceae.",nominative,
2342,silky,pubescence,,"Of or bearing long, fine, appressed, capillate trichomes and like silk to the touch.",pubescence,
2343,simple,architecture,,Externally unitary and comprising only one basic morphological unit; not compound in either sense of that term.,architecture,
2344,simple,architecture,trichome,Unicellular and unbranched.,architecture,
2345,simple-craspedodromous,venation,,"Having a midvein that branches to either side along the length of the lamina, the secondary veins and their branches all running toward and terminating at the margin.",venation,
2346,simple-lipped,architecture,stomate,Having subsidiary cells not derived from the primary stoma mother cell and thus not immediately related ontogenetically to the guard cells.,architecture,
