ID,term,category,appliesTo,definition,category2,dataSource
2193,rudimentary,manifestation,,Not developing fully and not functional compared with corresponding structures in other taxa.,manifestation,
2194,rugose,relief,,"Having irregular, narrow ridges or creases, the intervening areas flat to shallowly concave or convex, appearing overall as though crumpled and then spread out.  See also rugulose.",relief,
2195,rugulose,relief,,"Slightly or finely rugose (corrugate, wrinkled).",relief,
2196,ruminate,relief,,"Irregularly convoluted, as if chewed.",relief,
2197,runcinate,shape,,"Basically obovate with a series of retrorse, acute lobes on either side, these diminishing in size toward the base.",shape,
2198,runner,structure,,"A slender stem that grows horizontally upon or just beneath the ground surface, rooting at the nodes and giving rise to erect shoot segments at some nodes and/or at its apex.",STRUCTURE,
2199,runnering,architecture,plant,"Producing runners (stolons), by means of which it propagates vegetatively.",architecture,
2200,S-shaped,course,,"Curved more or less regularly first in one direction and then in the opposite direction, like the letter S.",course,
2201,S-shaped,shape,,"Elongate with more or less constant width or diameter and curved more or less regularly first in one direction and then in the opposite direction, like the letter S.",shape,
2202,saccate,architecture,pollen grain,Having lateral lobes or enations resembling sacs or somewhat inflated wings.,architecture,
2203,saccate,shape,,Irregularly obovoid with an exterior aspect intermediate between inflated and flaccid; like a closed pouch or bag.,shape,
2204,sack-shaped,shape,,Irregularly obovoid with an exterior aspect intermediate between inflated and flaccid; like a closed pouch or bag.,shape,
2205,saddle-shaped,shape,,"Relatively thin, broad and long, strongly compound-curved, concavely from end to end and convexly from side to side; like the generalized shape of a saddle.",shape,
2207,sagittate,shape,,"Generally triangular, tapering gradually from the base to an acute apex, the base with a relatively large, acute, retrorse lobe to either side; like the outline of the broad lateral face of an arrowhead.",shape,
2208,salient,orientation,lateral structure,Antrorse and diverging at an acute angle from the bearing structure.,orientation,
2209,salt-excreting,exudation,,"Accumulating salt and discharging it directly to the exterior in a concentrated aqueous solution, the salt then crystallizing on the exterior following evaporation of the fluid medium; when salt-excreting glands are indicated in the nominative, usually th",exudation,
2210,salverform,shape,"perianth, calyx, corolla","Having a relatively long, slender tube and a divaricate, planate limb resembling a round platter.",shape,
2211,samara,structure,fruit,"Dry, indehiscent and having one or more integral alate portions that aid in aerial dispersal.",nominative,
2212,sap,SUBSTANCE,,"Generally, the fluid content of a plant body; more precisely, the sugary fluid transported by the phloem.",SUBSTANCE,
2213,saprophytic,nutrition,plant,Heterotrophic and obtaining essential nourishment directly from the decomposing remains of other organisms.,nutrition,
2214,sapwood,structure,,That portion of the wood (xylem) of a stem or root whose cells are still living and functional; concentric about the heartwood once the latter has begun to form.,STRUCTURE,
